Nationalitätszeichen,Unterscheidungszeichen,Typ,Bedeutung
A,B,Länder,Landesorgane Zulassungsbezirk Burgenland
A,K,Länder,Landesorgane Zulassungsbezirk Kärnten
A,N,Länder,Landesorgane Zulassungsbezirk Niederösterreich
A,O,Länder,Landesorgane Zulassungsbezirk Oberösterreich
A,S,Länder,Landesorgane Zulassungsbezirk Salzburg
A,ST,Länder,Landesorgane Zulassungsbezirk Steiermark
A,T,Länder,Landesorgane Zulassungsbezirk Tirol
A,V,Länder,Landesorgane Zulassungsbezirk Vorarlberg
A,W,Länder,Landesorgane Zulassungsbezirk Wien
A,BD,Bund,"Bundesbusdienst – Omnibusse, die zur Verwendung im Kraftfahrlinienverkehr der Österreichischen Bundesbahnen (ÖBB) und der Post- und Telegraphenverwaltung bestimmt sind"
A,BH,Bund,Bundesheer 
A,BP,Bund,Bundespolizei 
A,FV,Bund,Finanzverwaltung 
A,FW,Bund,Feuerwehr
A,JW,Bund,Justizwache 
A,PT,Bund,Post
A,CD,Diplo,Dienstfahrzeugen internationaler Organisationen in Österreich oder Kfz von Mitgliedern des diplomatischen Personals der ausländischen diplomatischen Vertretungsbehörden in Österreich
A,CC,Diplo,Kfz ausländischer Berufskonsuln in Österreich
